Bus_ID,Route,Latitude,Longitude,Traffic,Weather,Arrival_Time
B1034,Route-17,12.889411,80.209941,Low,Cloudy,16
B1035,Route-19,13.054407,80.2909,Low,Cloudy,16
B1036,Route-16,13.197406,80.250791,High,Cloudy,23
B1037,Route-9,13.122736,80.153133,Low,Sunny,11
B1038,Route-1,13.076382,80.271688,High,Sunny,20
B1039,Route-8,13.078401,80.380846,Low,Sunny,16
B1040,Route-17,13.135572,80.207594,Low,Sunny,15
B1041,Route-3,13.154455,80.265846,High,Sunny,27
B1042,Route-20,12.840797,80.101555,Low,Cloudy,14
B1043,Route-2,13.197896,80.367002,Medium,Rainy,25
B1044,Route-17,12.817971,80.239679,Low,Cloudy,13
B1045,Route-12,12.980095,80.138118,Low,Rainy,15
B1046,Route-16,13.221012,80.158314,High,Cloudy,24
B1047,Route-5,12.961478,80.338556,High,Cloudy,24
B1048,Route-1,13.014157,80.30655,Low,Sunny,6
B1049,Route-16,12.846937,80.15486,Medium,Sunny,14
B1050,Route-16,13.017836,80.319012,Medium,Cloudy,17
B1051,Route-5,12.97094,80.12754,Low,Sunny,8
B1052,Route-10,13.045808,80.242042,Medium,Sunny,14
B1053,Route-1,12.930447,80.104591,High,Rainy,26
B1054,Route-20,13.107926,80.383167,Medium,Cloudy,13
B1055,Route-5,13.121644,80.237476,Medium,Sunny,14
B1056,Route-19,13.125742,80.162005,Medium,Rainy,21
B1057,Route-2,13.127861,80.215619,Medium,Sunny,20
B1058,Route-4,13.146445,80.204501,Low,Cloudy,17
B1059,Route-17,13.203417,80.397152,Low,Rainy,15
B1060,Route-3,13.265379,80.357524,High,Sunny,21
B1061,Route-19,13.052626,80.347937,Low,Foggy,18
B1062,Route-14,13.252691,80.127386,Medium,Sunny,19
B1063,Route-12,13.046513,80.124985,Medium,Cloudy,18
B1064,Route-10,13.176187,80.337474,Low,Cloudy,19
B1065,Route-9,12.827936,80.321111,High,Foggy,25
B1066,Route-9,12.850561,80.125232,High,Cloudy,27
B1067,Route-1,12.840674,80.125451,High,Rainy,29
B1068,Route-19,13.253847,80.277567,High,Sunny,23
B1069,Route-13,13.012111,80.371906,High,Cloudy,27
B1070,Route-3,12.828152,80.135645,Low,Cloudy,15
B1071,Route-6,12.987435,80.185714,Medium,Foggy,21
B1072,Route-11,13.28895,80.266802,Medium,Rainy,24
B1073,Route-14,13.147706,80.12263,High,Sunny,25
B1074,Route-11,13.148463,80.215261,Low,Foggy,15
B1075,Route-4,13.245132,80.236697,Low,Foggy,14
B1076,Route-17,13.091828,80.12332,Medium,Sunny,21
B1077,Route-6,13.101391,80.181287,Low,Sunny,11
B1078,Route-13,13.106708,80.225473,High,Rainy,31
B1079,Route-17,13.188801,80.244111,Low,Sunny,7
B1080,Route-17,13.00741,80.182022,High,Cloudy,28
B1081,Route-10,13.256583,80.275545,Medium,Rainy,24
B1082,Route-13,13.025272,80.138748,High,Sunny,23
B1083,Route-2,13.1785,80.114069,Low,Rainy,19
B1084,Route-17,12.953889,80.344916,Medium,Rainy,22
B1085,Route-19,13.177569,80.286093,Low,Sunny,8
B1086,Route-19,13.290231,80.282426,High,Cloudy,22
B1087,Route-19,13.056995,80.335096,High,Sunny,24
B1088,Route-20,13.029673,80.352627,Medium,Rainy,19
B1089,Route-16,13.046309,80.198625,Medium,Foggy,16
B1090,Route-3,13.120437,80.154564,Low,Sunny,12
B1091,Route-5,13.286555,80.280581,High,Cloudy,23
B1092,Route-12,12.815902,80.264615,Low,Sunny,9
B1093,Route-15,13.051709,80.307118,Low,Sunny,14
B1094,Route-4,13.236789,80.376262,Medium,Sunny,11
B1095,Route-14,12.892261,80.162805,High,Rainy,31
B1096,Route-15,12.818342,80.175731,Medium,Rainy,24
B1097,Route-19,12.815236,80.360164,High,Rainy,30
B1098,Route-7,12.988642,80.106021,Low,Sunny,13
B1099,Route-10,12.916608,80.202878,Low,Cloudy,18
B1100,Route-12,12.84346,80.261132,High,Cloudy,20
B1101,Route-13,12.981541,80.293775,Low,Sunny,8
B1102,Route-11,12.803767,80.1676,Low,Foggy,17
B1103,Route-8,12.827827,80.352694,Low,Rainy,15
B1104,Route-6,13.248305,80.2728,Medium,Foggy,17
B1105,Route-12,13.078381,80.271484,Medium,Foggy,20
B1106,Route-12,13.155476,80.159852,Low,Foggy,12
B1107,Route-11,12.944315,80.274371,Low,Cloudy,14
B1108,Route-2,13.027134,80.264581,Medium,Sunny,22
B1109,Route-11,12.92732,80.304451,Low,Rainy,11
B1110,Route-12,13.197145,80.13201,Medium,Cloudy,19
B1111,Route-1,13.295465,80.161501,Medium,Foggy,18
B1112,Route-14,13.220914,80.141932,Medium,Cloudy,24
B1113,Route-13,12.893202,80.170708,High,Rainy,35
B1114,Route-6,13.025974,80.314135,Medium,Cloudy,18
B1115,Route-14,13.088743,80.206609,Medium,Sunny,17
B1116,Route-8,13.071425,80.229458,Low,Sunny,9
B1117,Route-4,13.239315,80.248627,Medium,Sunny,18
B1118,Route-2,13.15349,80.333572,High,Rainy,26
B1119,Route-20,12.971041,80.346377,High,Rainy,30
B1120,Route-19,12.874959,80.168775,Medium,Rainy,19
B1121,Route-14,12.9259,80.203709,Medium,Cloudy,22
B1122,Route-11,12.869558,80.130238,Medium,Foggy,17
B1123,Route-17,13.148325,80.37675,High,Cloudy,27
B1124,Route-11,13.012065,80.320933,Medium,Cloudy,19
B1125,Route-1,13.292421,80.351669,Medium,Sunny,15
B1126,Route-9,13.095638,80.219701,High,Cloudy,31
B1127,Route-11,13.101861,80.13428,Low,Rainy,14
B1128,Route-7,13.040418,80.375536,High,Cloudy,21
B1129,Route-18,12.955737,80.334149,Low,Sunny,11
B1130,Route-8,13.280535,80.144599,Medium,Sunny,18
B1131,Route-17,12.833538,80.324988,Medium,Cloudy,21
B1132,Route-2,13.082421,80.119713,Low,Cloudy,10
B1133,Route-8,13.048506,80.329607,Medium,Cloudy,15
B1134,Route-1,12.986655,80.181223,High,Foggy,25
B1135,Route-3,13.157986,80.297677,Low,Sunny,5
B1136,Route-19,12.809855,80.131233,Low,Cloudy,13
B1137,Route-16,12.849721,80.172952,Medium,Sunny,19
B1138,Route-7,12.902492,80.187944,Medium,Cloudy,14
B1139,Route-1,12.861388,80.362933,Medium,Rainy,18
B1140,Route-20,12.929712,80.213908,High,Sunny,26
B1141,Route-12,13.076024,80.230838,Medium,Sunny,15
B1142,Route-19,13.043716,80.368366,Low,Rainy,12
B1143,Route-14,13.149423,80.220765,Medium,Rainy,26
B1144,Route-10,12.88584,80.181692,High,Cloudy,25
B1145,Route-10,13.077089,80.295426,Medium,Sunny,22
B1146,Route-13,12.933249,80.319655,Low,Sunny,9
B1147,Route-11,13.257206,80.225631,Medium,Sunny,20
B1148,Route-4,13.185493,80.120475,Low,Sunny,14
B1149,Route-1,13.083202,80.242815,Medium,Sunny,21
B1150,Route-13,12.881007,80.352459,Low,Cloudy,9
B1151,Route-1,13.037119,80.203315,Low,Cloudy,14
B1152,Route-5,13.017414,80.173921,Medium,Cloudy,15
B1153,Route-17,12.802627,80.130928,Low,Foggy,16
B1154,Route-8,13.023003,80.15554,Low,Foggy,18
B1155,Route-18,13.162052,80.291169,Medium,Rainy,23
B1156,Route-7,13.293834,80.383218,Medium,Sunny,19
B1157,Route-18,12.948675,80.377319,Low,Cloudy,10
B1158,Route-14,13.027572,80.25673,Medium,Sunny,16
B1159,Route-8,12.860283,80.123086,Medium,Sunny,16
B1160,Route-13,13.086214,80.341193,Medium,Sunny,17
B1161,Route-10,13.107932,80.169888,Medium,Rainy,24
B1162,Route-7,12.892736,80.215189,High,Sunny,21
B1163,Route-15,12.844272,80.111279,Low,Sunny,16
B1164,Route-3,12.968185,80.256756,Medium,Sunny,10
B1165,Route-16,13.226411,80.314666,Medium,Sunny,14
B1166,Route-12,13.013887,80.215298,Low,Foggy,19
B1167,Route-13,12.929491,80.276566,High,Rainy,31
B1168,Route-19,12.832493,80.220474,High,Rainy,32
B1169,Route-3,12.888264,80.166146,Medium,Sunny,11
B1170,Route-20,13.114889,80.164897,High,Rainy,33
B1171,Route-3,12.998121,80.327472,High,Sunny,19
B1172,Route-11,13.068487,80.277882,Low,Sunny,10
B1173,Route-12,12.864757,80.366624,High,Sunny,26
B1174,Route-15,13.265795,80.320564,Low,Sunny,9
B1175,Route-16,12.824392,80.259781,Low,Cloudy,14
B1176,Route-3,13.225603,80.248544,Medium,Sunny,13
B1177,Route-16,13.082866,80.180108,Low,Cloudy,14
B1178,Route-10,13.233647,80.312509,Medium,Rainy,28
B1179,Route-19,12.894611,80.364491,Low,Cloudy,16
B1180,Route-4,13.209973,80.168588,High,Sunny,24
B1181,Route-17,12.929344,80.15794,Medium,Rainy,16
B1182,Route-7,12.804536,80.345604,Low,Sunny,12
B1183,Route-4,12.970936,80.289787,Medium,Foggy,22
B1184,Route-10,13.273649,80.149913,Low,Rainy,16
B1185,Route-3,12.837347,80.355724,Medium,Sunny,15
B1186,Route-2,12.832813,80.346454,Medium,Sunny,14
B1187,Route-11,13.013091,80.235416,Low,Foggy,19
B1188,Route-12,13.14025,80.296353,Low,Sunny,7
B1189,Route-5,13.254762,80.357208,Low,Rainy,16
B1190,Route-12,13.24705,80.168986,High,Sunny,19
B1191,Route-8,13.071616,80.147774,Medium,Cloudy,20
B1192,Route-3,13.180512,80.287866,High,Rainy,30
B1193,Route-9,12.800616,80.279498,Low,Cloudy,13
B1194,Route-8,12.832104,80.274591,Low,Cloudy,12
B1195,Route-13,12.80581,80.121734,Low,Cloudy,10
B1196,Route-17,13.253909,80.317286,High,Foggy,23
B1197,Route-10,12.809184,80.244707,Low,Cloudy,10
B1198,Route-1,12.836208,80.260273,High,Foggy,33
B1199,Route-18,12.961047,80.39324,High,Sunny,27
B1200,Route-6,13.135193,80.385465,High,Sunny,21
B1201,Route-20,13.106472,80.189651,Medium,Cloudy,20
B1202,Route-3,12.840057,80.368445,Low,Rainy,15
B1203,Route-13,13.019304,80.317448,Low,Sunny,14
B1204,Route-19,12.964509,80.241055,Medium,Cloudy,23
B1205,Route-3,13.126632,80.199694,Low,Sunny,12
B1206,Route-17,12.910281,80.22552,Low,Sunny,8
B1207,Route-12,13.171353,80.227648,High,Rainy,29
B1208,Route-2,13.07165,80.254199,High,Cloudy,30
B1209,Route-19,13.250351,80.226516,Medium,Rainy,27
B1210,Route-3,12.991924,80.239744,Low,Sunny,9
B1211,Route-5,13.100928,80.289762,High,Sunny,22
B1212,Route-20,12.848697,80.221506,Low,Sunny,12
B1213,Route-5,12.995541,80.390824,Medium,Sunny,13
B1214,Route-10,13.099357,80.218998,Low,Cloudy,15
B1215,Route-5,13.059887,80.201101,Low,Sunny,13
B1216,Route-11,13.153389,80.150113,Low,Cloudy,13
B1217,Route-15,13.037315,80.353251,Medium,Cloudy,22
B1218,Route-5,12.85596,80.180925,High,Sunny,18
B1219,Route-5,12.861055,80.23566,High,Sunny,23
B1220,Route-11,13.144104,80.219214,Low,Cloudy,10
B1221,Route-18,13.286549,80.274034,Low,Sunny,14
B1222,Route-10,12.862871,80.139814,Low,Cloudy,11
B1223,Route-15,12.894175,80.319249,Medium,Sunny,19
B1224,Route-18,13.219058,80.383384,Low,Cloudy,17
B1225,Route-14,13.085305,80.109116,Medium,Rainy,23
B1226,Route-2,13.270438,80.348052,High,Cloudy,23
B1227,Route-13,13.288587,80.222072,High,Sunny,29
B1228,Route-6,13.125256,80.329557,Low,Sunny,10
B1229,Route-15,12.958598,80.36067,High,Rainy,23
B1230,Route-17,13.081719,80.214126,Medium,Cloudy,20
B1231,Route-2,12.807334,80.276119,Medium,Sunny,18
B1232,Route-12,13.231667,80.255725,Medium,Sunny,18
B1233,Route-12,12.923035,80.243009,Low,Cloudy,14
B1234,Route-15,12.897889,80.102269,High,Sunny,24
B1235,Route-2,12.830134,80.380331,Low,Foggy,16
B1236,Route-4,13.061542,80.301029,Low,Cloudy,10
B1237,Route-10,13.288363,80.346952,Medium,Sunny,19
B1238,Route-20,12.947639,80.338022,High,Sunny,29
B1239,Route-13,13.075113,80.113024,Medium,Rainy,27
B1240,Route-10,13.242103,80.168424,Medium,Rainy,25
B1241,Route-4,12.918435,80.334158,High,Sunny,20
B1242,Route-5,12.847768,80.287158,Medium,Cloudy,13
B1243,Route-15,13.231399,80.165022,Low,Rainy,15
B1244,Route-2,13.11898,80.177065,Low,Sunny,13
B1245,Route-17,13.137921,80.232815,Low,Cloudy,13
B1246,Route-7,13.209354,80.280966,Low,Sunny,11
B1247,Route-6,13.122645,80.278725,High,Sunny,25
B1248,Route-8,13.05953,80.120284,Medium,Sunny,17
B1249,Route-12,13.066479,80.1973,High,Cloudy,22
B1250,Route-4,13.165325,80.239562,Medium,Cloudy,22
B1251,Route-16,13.177419,80.151143,High,Cloudy,28
B1252,Route-19,13.290618,80.242466,Low,Sunny,14
B1253,Route-20,13.2635,80.261987,Low,Foggy,21
B1254,Route-2,13.177635,80.138314,Medium,Sunny,18
B1255,Route-2,12.913679,80.202502,Low,Sunny,17
B1256,Route-4,12.952762,80.219094,High,Cloudy,26
B1257,Route-10,13.193138,80.272376,High,Sunny,24
B1258,Route-14,13.069866,80.288385,Medium,Sunny,18
B1259,Route-2,12.95234,80.124276,High,Rainy,29
B1260,Route-2,13.278661,80.271912,Low,Sunny,14
B1261,Route-20,13.261379,80.246119,Low,Rainy,20
B1262,Route-2,12.873187,80.21026,Medium,Sunny,21
B1263,Route-6,12.839983,80.333017,Medium,Sunny,14
B1264,Route-19,13.101277,80.209439,Low,Sunny,11
B1265,Route-19,13.042301,80.326276,Low,Sunny,12
B1266,Route-1,13.191348,80.179616,Low,Sunny,14
B1267,Route-20,13.206985,80.284566,Medium,Foggy,21
B1268,Route-14,13.162159,80.337628,Medium,Rainy,20
B1269,Route-10,13.281911,80.174574,Low,Sunny,13
B1270,Route-13,13.109474,80.19705,Medium,Sunny,20
B1271,Route-11,13.279788,80.246356,High,Rainy,25
B1272,Route-20,12.849041,80.246472,Medium,Rainy,20
B1273,Route-10,13.205343,80.284224,Low,Cloudy,13
B1274,Route-16,13.193452,80.194622,High,Foggy,22
B1275,Route-11,12.819213,80.370529,Low,Rainy,18
B1276,Route-13,13.025062,80.168089,Medium,Sunny,13
B1277,Route-11,13.056111,80.304068,Low,Rainy,18
B1278,Route-8,12.852684,80.110671,Medium,Rainy,23
B1279,Route-19,12.974852,80.332396,Medium,Sunny,18
B1280,Route-17,13.130151,80.329312,Low,Sunny,17
B1281,Route-17,13.112332,80.214582,Low,Rainy,14
B1282,Route-10,12.834627,80.387948,Low,Sunny,12
B1283,Route-2,13.289985,80.280564,High,Sunny,24
B1284,Route-14,13.264042,80.167385,Low,Sunny,15
B1285,Route-19,13.271538,80.172208,Medium,Cloudy,19
B1286,Route-12,12.942953,80.344784,High,Cloudy,25
B1287,Route-11,13.177521,80.238162,High,Sunny,27
B1288,Route-15,12.934666,80.261867,Low,Rainy,13
B1289,Route-5,13.044197,80.145203,Low,Foggy,16
B1290,Route-15,12.948774,80.269507,Medium,Cloudy,21
B1291,Route-12,12.880424,80.267413,High,Sunny,24
B1292,Route-11,12.849589,80.220448,Medium,Foggy,24
B1293,Route-16,13.207559,80.284493,Low,Rainy,12
B1294,Route-17,12.802615,80.328297,High,Cloudy,27
B1295,Route-5,13.179338,80.303514,Low,Rainy,15
B1296,Route-5,13.121683,80.33412,Low,Sunny,12
B1297,Route-13,12.889186,80.108721,Medium,Sunny,16
B1298,Route-16,13.040486,80.292698,Low,Cloudy,18
B1299,Route-19,12.826402,80.245979,Low,Rainy,14
B1300,Route-4,12.829275,80.200271,Medium,Sunny,23
B1301,Route-18,12.873726,80.198458,Medium,Sunny,16
B1302,Route-13,13.200683,80.329977,Medium,Sunny,21
B1303,Route-11,13.048083,80.153476,Low,Cloudy,15
B1304,Route-3,12.901468,80.269665,Medium,Foggy,24
B1305,Route-13,13.215849,80.181921,Low,Sunny,7
B1306,Route-5,13.226364,80.167662,High,Sunny,25
B1307,Route-7,13.268677,80.311806,Medium,Sunny,22
B1308,Route-12,13.190107,80.102109,High,Foggy,32
B1309,Route-10,13.128478,80.386984,Low,Rainy,21
B1310,Route-16,12.923489,80.371876,Low,Sunny,13
B1311,Route-4,13.222395,80.180442,Medium,Sunny,22
B1312,Route-1,13.253219,80.141774,Low,Sunny,9
B1313,Route-10,12.918392,80.319735,High,Sunny,24
B1314,Route-5,13.112213,80.248344,High,Rainy,28
B1315,Route-12,13.082665,80.23918,Medium,Sunny,22
B1316,Route-7,12.875623,80.167595,Low,Sunny,14
B1317,Route-9,13.290258,80.168223,Medium,Cloudy,23
B1318,Route-10,13.10645,80.167844,High,Cloudy,20
B1319,Route-7,13.224988,80.300707,Low,Foggy,12
B1320,Route-19,13.056251,80.341921,Medium,Sunny,21
B1321,Route-15,12.92931,80.149412,High,Sunny,23
B1322,Route-17,13.239791,80.361174,Low,Rainy,20
B1323,Route-20,13.031966,80.372766,Low,Sunny,6
B1324,Route-19,13.025848,80.219214,High,Sunny,23
B1325,Route-5,12.847018,80.207001,Low,Sunny,16
B1326,Route-10,12.997985,80.374527,Medium,Rainy,24
B1327,Route-18,12.883017,80.284042,Medium,Cloudy,16
B1328,Route-16,13.099056,80.110015,Low,Cloudy,18
B1329,Route-11,13.107649,80.125039,Low,Sunny,16
B1330,Route-2,13.00888,80.395233,Medium,Foggy,22
B1331,Route-3,13.013745,80.14867,Low,Rainy,15
B1332,Route-9,13.245129,80.123822,Medium,Rainy,22
B1333,Route-12,13.155121,80.194305,High,Cloudy,23
B1334,Route-1,13.209628,80.363947,Low,Sunny,18
B1335,Route-16,12.973971,80.235105,Low,Sunny,16
B1336,Route-20,13.203098,80.353121,Medium,Rainy,18
B1337,Route-20,12.95746,80.101145,Medium,Sunny,16
B1338,Route-15,12.939638,80.292865,Low,Rainy,15
B1339,Route-12,12.816595,80.191184,Low,Sunny,11
B1340,Route-6,12.829547,80.369654,Low,Rainy,13
B1341,Route-8,12.855495,80.234117,Medium,Cloudy,20
B1342,Route-8,13.201177,80.243721,Low,Sunny,5
B1343,Route-3,12.940019,80.357503,Medium,Foggy,18
B1344,Route-19,12.809003,80.388843,High,Rainy,33
B1345,Route-9,13.151843,80.26221,High,Sunny,24
B1346,Route-14,12.950633,80.279507,Low,Cloudy,9
B1347,Route-14,13.251447,80.355679,Medium,Sunny,22
B1348,Route-3,13.113088,80.259395,Low,Foggy,12
B1349,Route-3,13.086675,80.297648,Low,Rainy,18
B1350,Route-2,13.06262,80.109794,Medium,Rainy,18
B1351,Route-14,13.058723,80.229128,High,Cloudy,27
B1352,Route-19,13.246262,80.233014,High,Cloudy,30
B1353,Route-13,13.119803,80.302928,Medium,Rainy,22
B1354,Route-8,12.935784,80.241869,High,Sunny,25
B1355,Route-8,12.927196,80.208556,Medium,Sunny,16
B1356,Route-16,13.025233,80.241891,Low,Cloudy,11
B1357,Route-20,13.058286,80.101652,Low,Sunny,7
B1358,Route-9,13.201293,80.271615,Low,Sunny,16
B1359,Route-7,13.108533,80.134152,Medium,Sunny,14
B1360,Route-19,13.13771,80.113456,Medium,Sunny,13
B1361,Route-7,13.157016,80.282372,Medium,Foggy,18
B1362,Route-15,13.23144,80.100631,High,Rainy,29
B1363,Route-5,13.132646,80.340106,High,Sunny,21
B1364,Route-15,13.175589,80.121302,Low,Sunny,16
B1365,Route-13,13.123048,80.293935,Medium,Sunny,14
B1366,Route-6,13.256643,80.283772,Low,Cloudy,12
B1367,Route-17,12.833222,80.26019,Low,Foggy,17
B1368,Route-17,13.024427,80.125318,Medium,Cloudy,25
B1369,Route-18,13.208362,80.120215,Low,Cloudy,13
B1370,Route-3,13.071267,80.358523,Medium,Sunny,13
B1371,Route-4,13.015493,80.19566,High,Foggy,32
B1372,Route-5,13.055841,80.149689,Medium,Cloudy,21
B1373,Route-3,12.87723,80.107634,High,Sunny,21
B1374,Route-8,13.004814,80.193365,Low,Sunny,14
B1375,Route-13,13.294018,80.2362,Medium,Sunny,13
B1376,Route-14,13.288726,80.259574,High,Sunny,21
B1377,Route-5,12.880012,80.107006,Low,Sunny,10
B1378,Route-18,12.987402,80.242202,High,Sunny,25
B1379,Route-13,12.944203,80.388341,High,Foggy,24
B1380,Route-19,13.290054,80.243364,High,Rainy,28
B1381,Route-12,13.154507,80.153151,Medium,Rainy,23
B1382,Route-15,12.882621,80.274895,High,Cloudy,25
B1383,Route-19,13.191194,80.320373,High,Sunny,18
B1384,Route-2,12.81973,80.242664,Low,Sunny,10
B1385,Route-5,13.234985,80.139196,Medium,Cloudy,21
B1386,Route-19,13.238545,80.383213,High,Sunny,19
B1387,Route-4,13.177311,80.247579,Medium,Sunny,17
B1388,Route-18,13.180899,80.215962,Low,Sunny,15
B1389,Route-3,13.02799,80.233037,Medium,Rainy,23
B1390,Route-8,13.226981,80.231745,Low,Sunny,5
B1391,Route-11,13.02416,80.25313,Low,Rainy,18
B1392,Route-3,13.116272,80.293341,High,Cloudy,20
B1393,Route-17,12.804432,80.399346,Low,Foggy,17
B1394,Route-15,12.822081,80.202535,Low,Sunny,9
B1395,Route-3,13.184461,80.297562,Low,Rainy,14
B1396,Route-3,13.043814,80.123295,Medium,Sunny,15
B1397,Route-6,13.08852,80.309327,Medium,Cloudy,16
B1398,Route-2,13.050312,80.338355,Low,Sunny,13
B1399,Route-8,12.947645,80.169715,Low,Sunny,13
B1400,Route-7,12.933084,80.106608,Low,Sunny,15
B1401,Route-17,13.289491,80.281048,Low,Cloudy,13
B1402,Route-20,13.026973,80.34643,Medium,Rainy,24
B1403,Route-13,13.156976,80.34676,Medium,Sunny,20
B1404,Route-2,13.000723,80.147587,High,Rainy,25
B1405,Route-18,13.001223,80.130824,Medium,Sunny,11
B1406,Route-12,12.831345,80.351802,Low,Rainy,23
B1407,Route-2,12.850946,80.20807,Medium,Sunny,12
B1408,Route-19,13.245936,80.230145,Low,Rainy,14
B1409,Route-15,13.046907,80.216295,Low,Cloudy,16
B1410,Route-15,13.133193,80.389814,Low,Rainy,14
B1411,Route-17,13.037703,80.290302,High,Sunny,22
B1412,Route-12,13.050201,80.229819,Medium,Foggy,17
B1413,Route-16,12.893012,80.265621,Low,Rainy,15
B1414,Route-13,13.165248,80.294314,Medium,Rainy,23
B1415,Route-6,13.265404,80.137717,Low,Sunny,10
B1416,Route-11,13.156603,80.159765,Medium,Sunny,17
B1417,Route-14,12.855756,80.254759,Medium,Sunny,15
B1418,Route-3,13.219133,80.312815,Low,Foggy,20
B1419,Route-6,13.097566,80.102977,Medium,Cloudy,23
B1420,Route-10,12.933626,80.165942,High,Cloudy,31
B1421,Route-1,12.860104,80.179675,High,Rainy,27
B1422,Route-13,13.12093,80.271195,Medium,Sunny,17
B1423,Route-8,12.811797,80.369568,High,Rainy,23
B1424,Route-13,13.249728,80.313041,Low,Sunny,7
B1425,Route-20,12.828922,80.387337,Medium,Cloudy,24
B1426,Route-7,12.837803,80.209704,Medium,Foggy,26
B1427,Route-15,13.190661,80.27349,Low,Cloudy,14
B1428,Route-15,13.20493,80.384219,Low,Cloudy,15
B1429,Route-9,13.145048,80.379182,Low,Cloudy,13
B1430,Route-14,13.278967,80.258898,Medium,Sunny,23
B1431,Route-3,13.203483,80.237899,Low,Sunny,18
B1432,Route-16,12.904593,80.114994,Low,Sunny,5
B1433,Route-3,12.995929,80.297734,High,Cloudy,30
B1434,Route-18,13.27651,80.256762,Medium,Sunny,14
B1435,Route-19,13.111172,80.394353,Medium,Sunny,16
B1436,Route-8,13.149156,80.218562,Medium,Sunny,12
B1437,Route-7,13.159166,80.174202,Low,Cloudy,9
B1438,Route-10,13.18179,80.356562,High,Foggy,33
B1439,Route-8,13.075995,80.341426,High,Sunny,22
B1440,Route-3,12.8477,80.228611,High,Rainy,35
B1441,Route-2,13.250692,80.146142,High,Sunny,25
B1442,Route-3,13.180504,80.211517,High,Sunny,23
B1443,Route-20,12.937774,80.286612,Low,Sunny,12
B1444,Route-20,13.223636,80.370671,Medium,Sunny,23
B1445,Route-17,12.910426,80.111679,Low,Cloudy,16
B1446,Route-3,12.912445,80.229414,Low,Cloudy,16
B1447,Route-8,12.871907,80.229031,Low,Rainy,18
B1448,Route-13,13.21158,80.366666,Medium,Rainy,20
B1449,Route-4,12.965782,80.356509,Medium,Sunny,20
B1450,Route-4,13.030001,80.128516,Low,Rainy,22
B1451,Route-20,13.127325,80.145479,Medium,Rainy,24
B1452,Route-6,12.863933,80.329664,Medium,Sunny,22
B1453,Route-19,12.913063,80.19126,Low,Foggy,14
B1454,Route-5,12.955042,80.319517,Low,Sunny,8
B1455,Route-16,13.24802,80.345408,High,Cloudy,21
B1456,Route-8,13.292429,80.326274,High,Rainy,31
B1457,Route-17,13.072248,80.312796,Medium,Sunny,11
B1458,Route-5,12.932663,80.280466,High,Sunny,20
B1459,Route-8,13.054445,80.210784,Low,Cloudy,16
B1460,Route-17,13.201759,80.136609,Low,Sunny,18
B1461,Route-3,12.871085,80.164018,Low,Sunny,11
B1462,Route-3,13.135528,80.230597,Low,Rainy,11
B1463,Route-11,12.993619,80.371972,Medium,Cloudy,14
B1464,Route-19,13.15185,80.391077,High,Sunny,26
B1465,Route-16,13.070367,80.228879,Medium,Cloudy,18
B1466,Route-20,13.200002,80.265812,High,Sunny,26
B1467,Route-8,12.958275,80.344923,Medium,Cloudy,24
B1468,Route-18,13.085873,80.349849,Low,Cloudy,11
B1469,Route-5,12.893457,80.105939,Low,Sunny,11
B1470,Route-1,12.967025,80.31981,Medium,Cloudy,18
B1471,Route-1,13.142722,80.199737,Low,Sunny,9
B1472,Route-20,13.116141,80.159698,Medium,Cloudy,18
B1473,Route-10,13.016009,80.394111,Low,Sunny,18
